DATE				SiteID	Lon	Lat		SiteID	Lon	Lat		SiteID	Lon	Lat		SiteID	Lon	Lat		SiteID	Lon	Lat		SiteID	Lon	Lat		SiteID	Lon	Lat		SiteID	Lon	Lat		SiteID	Lon	Lat		SiteID	Lon	Lat		SiteID	Lon	Lat		SiteID	Lon	Lat		SiteID	Lon	Lat		SiteID	Lon	Lat		SiteID	Lon	Lat		SiteID	Lon	Lat		SiteID	Lon	Lat
DD-HH				BACK	-94.21	57.71		FSIM	-121.23	61.76		FSMI	-111.95	60.02		GILL	-94.64	56.38		GULL	-108.26	50.06		MCMU	-111.21	56.66		PINA	-96.04	50.2		RANK	-92.11	62.82		THRF	-96.36	48.03		WGRY	-120.03	51.88		BLC	-96.01	64.32		IQA	-68.52	63.75		MEA	-113.35	54.62		OTT	-75.55	45.4		RES	-94.89	74.69		STJ	-52.68	47.6		VIC	-123.42	48.52

				max(dB/dt)			max(dB/dt)			max(dB/dt)			max(dB/dt)			max(dB/dt)			max(dB/dt)			max(dB/dt)			max(dB/dt)			max(dB/dt)			max(dB/dt)			max(dB/dt)			max(dB/dt)			max(dB/dt)			max(dB/dt)			max(dB/dt)			max(dB/dt)			max(dB/dt)
04-12				31.7				121.89				59.25				27.54				14.92				28.54				17.7				56.29				148.55				20.87				46.24				50.93								14.06				50.45				17.85				14.83
04-13				31.16				58.86				34.54				24.17				15.78				23.06				13.7				45.42				149.06				13.49				51.01				53.16								10.8				39.44				18.72				10.75
04-14				18.26				15.75				14.26				21.98				11.71				13.32				15.82				29.04				149.4				11.39				45.29				45.28								16.37				33.94				13.06				9.4
04-15				24.26				13.81				14.44				22.8				14.65				11.29				26.29				29.12				183.05				10.28				32.33				26.08								16.48				34.65				18.7				9.5
04-16				41.14				22.36				23.94				37.18				22.83				21.78				29.77				35.69				170.87				21.55				37.7				42.24								16.29				63.86				18.1				16.5
04-17				37.42				26.33				25.15				42.64				21.45				23.14				31.93				44.28				163.84				22.57				48.58				70.03								18.7				74.81				11.59				13.41
04-18				40.75				35.95				33.05				41.44				24.92				26.31				33.86				42.22				155.76				42.25				46.09				73.45								18.14				84.34				12.59				19.73
04-19				24.38				32.08				27.97				35.88				20.72				26.03				17.82				39.9				168.13				20.15				46.65				79.68								12.86				83.57				16.95				24.38
04-20				19.31				28.45				20.07				32.35				20.46				18.76				17.69				51.98				163.84				16.64				53.09				93.22								19.3				99.17				14.5				19.31
04-21				25.28				22.88				19.64				34.71				10.17				13.04				17.92				49.64				159.14				12.64				52.34				72.9								17.15				90.54				16.5				7.38
04-22				55.41				50.06				48.81				66.03				23.73				31.76				31.76				121.64				144.65				24.69				152.15				120.06								19.16				105.84				14.15				18.31
04-23				25.19				24.38				24.02				31.58				11.99				16.61				16.61				52.4				138.46				18.81				55.05				79.93								7.8				63.11				8.14				17.52
04-24				39.54				40.63				30.51				50.34				20.22				23.76				23.7				44.05				155.13				18.44				45.3				38.27								13.47				57.85				8.87				11.7
05-01				29.63				37.56				26.39				38.5				15.07				20.66				16.69				38.58				138.1				16.04				39.34				88.25								10.2				56.14				9.18				11.62
05-02				13.9				16.32				12.16				22.34				9.36				10.81				8.98				17.79				155.56				6.21				22.34				105.43								4.9				22.12				4.93				4.48
05-03				16.06				23.58				15.04				18.76				9.68				12.52				13.06				26.23				149.99				11.81				23.41				64.05								8.04				26.72				7.17				6.96
05-04				11.3				17.41				11.31				13.8				6.71				9.67				11.92				24.52				172.29				12.06				24.72				35.01								4.09				25.53				3.65				5.42
05-05				60.65				19.82				17.29				33.3				12.42				18.41				15.72				98.66				147.21				20.2				39.17				42.69								6.88				33.45				5.96				6.87
05-06				70.78				24.16				28.23				41.49				11.42				18.36				23.51				282.84				161.85				17.04				139.37				86.18								11.81				25.98				12.95				8.87
05-07				27.05				24.55				27.23				27.23				9.27				13.75				13.54				54.63				181.03				12.98				42.29				64.21								7.19				39.98				8.84				7.35
05-08				16.7				25.3				27.0				27.0				5.56				14.51				6.32				14.22				159.4				5.72				12.06				17.16								3.71				22.65				3.62				3.82
05-09				20.61				31.51				26.2				14.61				7.89				15.92				6.67				32.58				161.24				8.92				31.7				37.01								6.27				30.53				12.81				6.16
05-10				38.25				57.38				48.72				32.19				10.35				20.68				13.41				57.81				153.3				11.45				50.98				106.65								9.84				57.81				17.27				8.52
05-11				114.35				164.16				142.64				70.61				17.73				53.91				24.49				158.63				153.22				19.45				158.95				168.57								18.26				63.97				19.06				16.01
05-12				174.68				199.52				165.41				122.84				22.47				60.12				29.36				29.36				166.04				21.36				146.32				205.44								16.54				76.37				25.45				15.88
05-13				42.73				165.68				118.73				31.51				12.98				25.92				14.6				14.6				143.52				16.98				94.08				88.54								13.82				62.16				14.41				12.95
05-14				25.36				42.63				18.18				33.57				7.57				12.63				24.56				101.24				125.61				7.62				79.6				46.22								22.6				48.24				12.32				4.66
05-15				33.03				50.03				33.77				28.39				9.68				16.29				21.0				86.84				156.89				8.35				121.83				61.47								25.92				103.25				24.28				8.53
05-16				34.91				36.55				32.37				48.36				28.02				28.84				34.77				38.98				193.39				25.03				47.36				65.77								14.99				172.37				16.62				20.79
05-17				25.65				18.26				22.13				24.88				24.11				27.68				33.82				36.75				200.14				23.66				41.16				56.74								19.5				109.85				12.87				12.59
05-18				15.17				13.4				12.11				18.41				18.84				16.9				18.19				20.49				189.04				41.15				22.13				38.26								24.19				164.44				14.35				17.33
